id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
9BxwybESMtcZsXBO0K-axA,berber-san-francisco-4,Berber,https://s3-media3.fl.yelpcdn.com/bphoto/nL6kgSzEbconRqr9XeAwlQ/o.jpg,False,https://www.yelp.com/biz/berber-san-francisco-4?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,247,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,"{'latitude': 37.7960663, 'longitude': -122.422201}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '1516 Broadway', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['1516 Broadway', 'San Francisco, CA 94109']}",+14158007767,(415) 800-7767
ZajCfjeJaHdakadUMYT9Dw,golden-kim-tar-san-francisco,Golden Kim Tar,https://s3-media3.fl.yelpcdn.com/bphoto/aUzE4Ae0NKjWjeXrDSiWbg/o.jpg,False,https://www.yelp.com/biz/golden-kim-tar-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,301,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,"{'latitude': 37.7818482, 'longitude': -122.4170559}","['pickup', 'delivery']",$,"{'address1': '434 Larkin St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['434 Larkin St', 'San Francisco, CA 94102']}",+14153468889,(415) 346-8889
25KGeqGCQ2NGUT6217hF8Q,amsterdam-café-san-francisco-2,Amsterdam Café,https://s3-media2.fl.yelpcdn.com/bphoto/sTfa9mQEAZeSpWjXKmNzSQ/o.jpg,False,https://www.yelp.com/biz/amsterdam-caf%C3%A9-san-francisco-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,189,"[{'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 37.78625, 'longitude': -122.41857}","['pickup', 'delivery']",$,"{'address1': '930 Geary St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94109', 'country': 'US', 'state': 'CA', 'display_address': ['930 Geary St', 'San Francisco, CA 94109']}",,
ZD5-5Gu44WrcsYtw7qMgiw,palmyra-san-francisco,Palmyra,https://s3-media2.fl.yelpcdn.com/bphoto/utTINOJTETFlgcVojIL1Ew/o.jpg,False,https://www.yelp.com/biz/palmyra-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,871,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'syrian', 'title': 'Syrian'}]",4.0,"{'latitude': 37.771851, 'longitude': -122.433937}","['pickup', 'delivery']",$,"{'address1': '700 Haight St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['700 Haight St', 'San Francisco, CA 94117']}",+14158964172,(415) 896-4172
9jW6WTeK3BrXuZKvHyqrsA,newa-san-francisco-4,Newa,https://s3-media2.fl.yelpcdn.com/bphoto/xkdSkGRvgcWoGPQp7lnHig/o.jpg,False,https://www.yelp.com/biz/newa-san-francisco-4?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,203,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'halal', 'title': 'Halal'}]",4.0,"{'latitude': 37.7847215, 'longitude': -122.4130263}","['pickup', 'delivery']",$$,"{'address1': '407 Ellis St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['407 Ellis St', 'San Francisco, CA 94102']}",+14154473876,(415) 447-3876
8-zW9T7u9L-TDVfJyLMOZw,royal-indian-cuisine-on-fillmore-san-francisco,Royal Indian Cuisine on Fillmore,https://s3-media2.fl.yelpcdn.com/bphoto/0a7_sR6jJksMomKIsGQPTg/o.jpg,False,https://www.yelp.com/biz/royal-indian-cuisine-on-fillmore-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,278,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",4.0,"{'latitude': 37.78582, 'longitude': -122.43301}","['pickup', 'delivery']",$$,"{'address1': '1740 Fillmore St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1740 Fillmore St', 'San Francisco, CA 94115']}",+14155677789,(415) 567-7789
bf72ckc4mWwcpqoZiFfVHA,elaines-kitchen-san-francisco-3,Elaine's Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/qSGxUqJNRh9TV9r43WeRVg/o.jpg,False,https://www.yelp.com/biz/elaines-kitchen-san-francisco-3?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,375,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 37.7982972, 'longitude': -122.4045086}","['pickup', 'delivery']",$,"{'address1': '434 Broadway St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['434 Broadway St', 'San Francisco, CA 94133']}",+14153921826,(415) 392-1826
cAVua5M0p2ScClxfcK25lg,jasmine-tea-house-san-francisco,Jasmine Tea House,https://s3-media4.fl.yelpcdn.com/bphoto/4k5rCbMMvhyRrLUF5s_DLQ/o.jpg,False,https://www.yelp.com/biz/jasmine-tea-house-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,550,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,"{'latitude': 37.744579, 'longitude': -122.420115}","['pickup', 'delivery']",$$,"{'address1': '3259 Mission St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3259 Mission St', 'San Francisco, CA 94110']}",+14158266288,(415) 826-6288
DAiqwrmv19Uv-I1bOoAJCQ,baiano-pizzeria-san-francisco-3,Baiano Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/oTZZPT59e4CdxdlJqetubA/o.jpg,False,https://www.yelp.com/biz/baiano-pizzeria-san-francisco-3?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,207,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 37.7741681941565, 'longitude': -122.422267710877}","['pickup', 'delivery']",$,"{'address1': '100 Gough St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['100 Gough St', 'San Francisco, CA 94102']}",+14156211401,(415) 621-1401
gR9DTbKCvezQlqvD7_FzPw,north-india-restaurant-san-francisco,North India Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/8713LkYA3USvWj9z4Yokjw/o.jpg,False,https://www.yelp.com/biz/north-india-restaurant-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,1729,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,"{'latitude': 37.787789124691, 'longitude': -122.399305736113}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '123 Second St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['123 Second St', 'San Francisco, CA 94105']}",+14153481234,(415) 348-1234
M5xcWgfoGtvYUaYysujWdA,cheers-on-demand-san-francisco-5,Cheers On Demand,https://s3-media1.fl.yelpcdn.com/bphoto/TFVPn5P8KBRDQL2odjq61g/o.jpg,False,https://www.yelp.com/biz/cheers-on-demand-san-francisco-5?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,66,"[{'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,"{'latitude': 37.7773321823714, 'longitude': -122.431544454087}","['pickup', 'delivery']",$,"{'address1': '867 Fillmore St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['867 Fillmore St', 'San Francisco, CA 94117']}",+14158852898,(415) 885-2898
P-PhLMdBTZSPC4Z_IS3i0w,serranos-pizza-san-francisco-2,Serrano's Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/jDRgUcSQJM9EzRw3aYz6_Q/o.jpg,False,https://www.yelp.com/biz/serranos-pizza-san-francisco-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,614,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 37.75714, 'longitude': -122.42051}","['pickup', 'delivery']",$,"{'address1': '3274 21st St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3274 21st St', 'San Francisco, CA 94110']}",+14156951615,(415) 695-1615
5-B4VF38j-cba9rFtzcmFw,deja-vu-pizza-and-pasta-san-francisco,Deja Vu Pizza and Pasta,https://s3-media2.fl.yelpcdn.com/bphoto/lsFmqfixFzRIyUhyZGeZjQ/o.jpg,False,https://www.yelp.com/biz/deja-vu-pizza-and-pasta-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,398,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 37.76449, 'longitude': -122.42471}","['pickup', 'delivery']",$,"{'address1': '3227 16th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['3227 16th St', 'San Francisco, CA 94103']}",+14152551600,(415) 255-1600
QWZO1RdLbG5h0RGDiItoAA,zaoh-restaurant-san-francisco,Zaoh Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/oREGstjYNPBMvV9sk2RRJw/o.jpg,False,https://www.yelp.com/biz/zaoh-restaurant-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,291,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",3.5,"{'latitude': 37.77317, 'longitude': -122.41787}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '1555 Mission St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['1555 Mission St', 'San Francisco, CA 94103']}",+14154313930,(415) 431-3930
1fgmqu-VXQ2QX1FII89g3g,red-chilli-san-francisco,Red Chilli,https://s3-media1.fl.yelpcdn.com/bphoto/NRdE2YbJfB3d4qX9eCXrng/o.jpg,False,https://www.yelp.com/biz/red-chilli-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,454,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",4.0,"{'latitude': 37.786076, 'longitude': -122.412882}","['pickup', 'delivery']",$$,"{'address1': '522 Jones St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['522 Jones St', 'San Francisco, CA 94102']}",+14159313529,(415) 931-3529
H4V9QmbKSoWjENoCQnB6UA,clay-oven-on-haight-san-francisco-4,Clay Oven on Haight,https://s3-media3.fl.yelpcdn.com/bphoto/_Qhp9be33267ZDu4Xm4aag/o.jpg,False,https://www.yelp.com/biz/clay-oven-on-haight-san-francisco-4?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,6,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'bars', 'title': 'Bars'}]",3.0,"{'latitude': 37.771699, 'longitude': -122.430537}","['pickup', 'delivery']",,"{'address1': '233 Fillmore St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94117', 'country': 'US', 'state': 'CA', 'display_address': ['233 Fillmore St', 'San Francisco, CA 94117']}",+14152552000,(415) 255-2000
0w6dNMrpBQFLxhVYqx_J5Q,red-jade-san-francisco,Red Jade,https://s3-media4.fl.yelpcdn.com/bphoto/HUme4aT3O6BOOVL5JFo4nA/o.jpg,False,https://www.yelp.com/biz/red-jade-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,750,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,"{'latitude': 37.7668495178223, 'longitude': -122.428527832031}","['pickup', 'delivery']",$$,"{'address1': '245 Church St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94114', 'country': 'US', 'state': 'CA', 'display_address': ['245 Church St', 'San Francisco, CA 94114']}",+14156213020,(415) 621-3020
bucF7GBwlIUJbPFdoLhxNA,supreme-pizza-san-francisco,Supreme Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/JdRfGFHKmd7RQ0FdsQNLSg/o.jpg,False,https://www.yelp.com/biz/supreme-pizza-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,131,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",3.5,"{'latitude': 37.7619213, 'longitude': -122.4182987}","['pickup', 'delivery']",$,"{'address1': '3348 18th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['3348 18th St', 'San Francisco, CA 94110']}",+14154379400,(415) 437-9400
9Hp8kwNv9Ks8wkU5AxZUhA,chicos-pizza-san-francisco,Chico's Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/EORjLLcfSZ-YJPH5ezc4Vw/o.jpg,False,https://www.yelp.com/biz/chicos-pizza-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,358,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 37.7807693, 'longitude': -122.4081793}","['pickup', 'delivery']",$,"{'address1': '131 6th St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['131 6th St', 'San Francisco, CA 94103']}",+14152551111,(415) 255-1111
4flzSf_EwBqeRb_3YT5VTg,milan-pizza-san-francisco,Milan Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/6iRkb_W5X8Kg8qzwgaQOhw/o.jpg,False,https://www.yelp.com/biz/milan-pizza-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=pcYg-P8c8BaI_ztBwaTGmw,433,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 37.78691, 'longitude': -122.41343}","['pickup', 'delivery']",$,"{'address1': '606 Geary St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94102', 'country': 'US', 'state': 'CA', 'display_address': ['606 Geary St', 'San Francisco, CA 94102']}",+14156741011,(415) 674-1011
